name,type,total_sales,median_year_built,median_area,median_sale_price,median_price_sf
13089021225,tract,29,2004,1168,305000,255.6818182
13089021226,tract,19,2006,2253,675000,304.039059
13089021227,tract,43,1967,2332,657000,289.8338221
13089021228,tract,31,1977,2617,719000,267.2587808
13089021229,tract,27,1975.5,2687,710000,284.0909091
13089021230,tract,31,2006,1383,452500,343.4562545
13089021301,tract,31,1985,1807,467500,272.7856226
13089021305,tract,31,1987,2020,477000,241.3015464
13089021306,tract,36,1961.5,1310,383250,249.552296
13089021307,tract,32,1956,1262,393750,276.5357074
13089021308,tract,33,1963.5,1574,407000,273.7254902
13089021309,tract,6,1988.5,1298,256950,189.7468702
13089021310,tract,30,1962.5,1501,395000,263.28125
13089021405,tract,100,2000,2250,763000,361.6367071
13089021409,tract,7,1961,1806,540000,279.7758057
13089021410,tract,46,1960,1440,455000,259.3584656
13089021411,tract,41,2000,2100,850000,424.8484848
13089021412,tract,88,1983,1988,654500,365.0074798
13089021415,tract,53,1996,2500,787500,316
13089021416,tract,44,2006,1743,551000,343.1905487
13089021417,tract,22,1979,1440,385000,249.7838596
13089021418,tract,1,1956,1866,775000,415.3269025
13089021419,tract,11,1990.5,1900,420000,234.5261122
13089021420,tract,3,2003,1456,515000,402.0700637
13089021421,tract,23,1955,1456,560000,391.4790997
13089021502,tract,62,1953,1685,568702.5,320.3820074
13089021503,tract,34,1984,1604,510000,252.2884948
13089021505,tract,22,1962.5,2121.5,665000,322.3501411
13089021506,tract,40,1989,1485.5,493500,325.9493671
13089021602,tract,68,1986,1886.5,592500,279.3764988
13089021604,tract,32,1962.5,2183,719750,309.5193324
13089021606,tract,44,1955,1764,598900,324.1231014
13089021607,tract,28,1974,1426,325000,245.6896552
13089021608,tract,36,1968,1631.5,285000,213.8959368
13089021609,tract,24,1959.5,2186.5,642500,346.2572477
13089021703,tract,52,1965,2328,644500,302.4087177
13089021707,tract,26,1988,2310.5,638500,306.3090768
13089021708,tract,48,1970,1535,401000,240.3703704
13089021709,tract,48,1958,1362,258750,218.75
13089021710,tract,28,1969,2676,694850,254.3289666
13089021711,tract,36,1966,1770,299000,185.9504132
13089021712,tract,8,1968,1253,219725,179.5643154
13089021808,tract,55,1969,2016,475000,227.3545291
13089021812,tract,25,1966,1994,440000,215.5172414
13089021815,tract,5,1986,1470,245000,187.0748299
13089021816,tract,47,1985,1182,226000,191.2013536
13089021817,tract,19,1968,1664,382000,215.4471545
13089021818,tract,78,1970,1687,363500,223.4950834
13089021819,tract,56,1968,2289.5,482000,218.2959877
13089021820,tract,17,1973,1728,359900,201.6806723
13089021821,tract,44,1972,2382.5,492250,221.279825
13089021822,tract,72,1966,1797,437250,226.7644222
13089021823,tract,40,1972,2379.5,477500,193.7036031
13089021824,tract,27,1964,1429,265000,203.7292818
13089021906,tract,101,1976,1472,239900,156.8532819
13089021908,tract,52,1978,1600,214500,133.75
13089021910,tract,81,1985,1515,260000,162.3376623
13089021911,tract,1,2002,1560,239900,153.7820513
13089021912,tract,58,1979,3500,627500,183.401461
13089021913,tract,26,1977,1360,232500,163.9975603
13089021914,tract,58,1971,1452,241750,155.8739322
13089021915,tract,59,1989.5,2367,335000,139.5758303
13089021916,tract,36,1986,1010,153375,151.8337033
13089021917,tract,33,1977,1680,225500,148.8095238
13089022001,tract,73,1963,1541,397000,253.6255411
13089022005,tract,14,1962.5,1624,269000,165.7884548
13089022007,tract,15,1967,1229,265000,194.0850277
13089022010,tract,22,1968,1610,332500,200.9933121
13089022011,tract,30,1970,1529,290000,156.9423929
13089022012,tract,10,1981,1376,215000,164.3795717
13089022013,tract,5,1983,1584,190000,141.3237925
13089022014,tract,5,1983,1236,175000,176.6692852
13089022015,tract,25,1970.5,2088,300000,155.0290939
13089022016,tract,35,1970,1827,295000,170.1631702
13089022100,tract,91,1988,1482,285690,198.7179487
13089022203,tract,24,1999.5,1323,477500,303.7513341
13089022205,tract,65,1958,1150,325000,241.9181034
13089022206,tract,22,1956,1200,367000,291.1573778
13089022302,tract,53,1960,1371,465000,319.4993412
13089022303,tract,57,1952,1224,435000,325.1091703
13089022304,tract,53,1960,1387,395000,265.1515152
13089022401,tract,42,1947,1884,797950,383.2447346
13089022403,tract,46,1949.5,2260.5,826902.5,365.6066452
13089022404,tract,2,2001,2320,567500,244.612069
13089022405,tract,9,1965,1401,360000,284.8101266
13089022501,tract,33,1987,1320,495000,412.2340426
13089022502,tract,35,1963,1770,699900,313.4962806
13089022601,tract,65,1973,1620,499000,324.0529439
13089022602,tract,41,1973,1743,647500,390.060241
13089022700,tract,64,1949.5,1900,781000,411.0526316
13089022800,tract,67,1948.5,2700,514990,343.0706522
13089022900,tract,69,1951.5,1568,427000,295.9413754
13089023000,tract,23,1951,1605,590000,299.2631579
13089023101,tract,88,1954,1317.5,292500,209.9580084
13089023102,tract,34,1959,1750,430000,253.0433502
13089023107,tract,98,1954,1175.5,275000,230.6135408
13089023108,tract,87,1961.5,1311,222900,162.0626151
13089023111,tract,24,1962,1686,217500,117.2115978
13089023112,tract,17,1982.5,1240,262000,211.97411
13089023113,tract,27,2000,1832,510000,228.026534
13089023114,tract,29,1982,1492,260000,170.8278581
13089023209,tract,88,1982,1710.5,238950,149.171482
13089023211,tract,32,1988.5,2092,297500,143.8591788
13089023212,tract,60,1984,1957,251500,138.7813771
13089023213,tract,55,1983,1906,231829,135.2739726
13089023214,tract,63,1999,1733,265000,148.1481481
13089023215,tract,59,1972,1703,245000,152.1164021
13089023216,tract,77,1978,1600,243500,151.2345679
13089023217,tract,84,1980,1838,250000,149.2
13089023218,tract,6,1986,1726.5,263500,156.8658169
13089023219,tract,36,1972,1898,290000,149.6296081
13089023220,tract,63,1982,1436,203500,144.9275362
13089023221,tract,53,1977,1561,220000,137.6262626
13089023222,tract,46,1983,1533.5,225000,141.5202887
13089023311,tract,53,1986,2151,245000,145.0443191
13089023313,tract,90,1987,1547.5,241150,156.2833909
13089023315,tract,95,2001,2095,290000,143.7384045
13089023317,tract,57,1964,1524,204800,132.960112
13089023318,tract,55,2006,2511,345000,134.8039216
13089023319,tract,31,2006,1960,285000,154.5918367
13089023320,tract,49,1992,1024,465000,454.1015625
13089023321,tract,20,1973,1467,78500,63.67203676
13089023322,tract,30,1985,1751,259000,148.5448133
13089023323,tract,35,1988,2214,299000,143.5406699
13089023324,tract,38,2000.5,1968.5,296750,147.6037549
13089023325,tract,66,1993.5,2528,320000,147.9250234
13089023326,tract,42,1994,1949,272500,145.9105751
13089023327,tract,80,1990.5,1500,215000,157.3321135
13089023328,tract,98,1988.5,1460,228800,157.0679178
13089023329,tract,47,1994,2486,303000,136.8515206
13089023330,tract,23,2000,2144,257936,120.8333333
13089023331,tract,64,1983,1629.5,229000,149.0024771
13089023332,tract,43,1984.5,1638,241300,147.0588235
13089023410,tract,39,1987,1424,217000,154.109589
13089023411,tract,61,1965,1724,265000,155.8524173
13089023413,tract,52,1972,1967.5,256120,138.8536962
13089023422,tract,86,1994,1685,266500,155.8720409
13089023424,tract,81,1982,1780,255000,135.7945777
13089023425,tract,70,1986,1773,261500,148.306071
13089023426,tract,45,1988,2032,300000,128.030303
13089023427,tract,31,1982,1588,245000,140.9666283
